Y 	 10001 	 10038 	 6 	 6.33333 	 STR_1604573
Y 	 12451 	 12469 	 3 	 6.33333 	 STR_1604574
Y 	 12798 	 12817 	 6 	 3.33333 	 STR_1604575
Y 	 12946 	 13016 	 4 	 17.75 	 STR_1604576
Y 	 15187 	 15205 	 1 	 19 	 STR_1604577
Y 	 15355 	 15373 	 1 	 19 	 STR_1604578
Y 	 15615 	 15631 	 1 	 17 	 STR_1604579
Y 	 15764 	 15782 	 1 	 19 	 STR_1604580
Y 	 15841 	 15859 	 3 	 6.33333 	 STR_1604581
Y 	 16495 	 16514 	 6 	 3.33333 	 STR_1604582
Y 	 16640 	 16696 	 4 	 14.25 	 STR_1604583
Y 	 20048 	 20065 	 5 	 3.6 	 STR_1604584
Y 	 20090 	 20117 	 4 	 7 	 STR_1604585
Y 	 21873 	 21894 	 6 	 3.66667 	 STR_1604586
Y 	 23142 	 23159 	 4 	 4.5 	 STR_1604587
Y 	 24014 	 24035 	 1 	 22 	 STR_1604588
Y 	 25265 	 25279 	 1 	 15 	 STR_1604589
Y 	 25709 	 25726 	 3 	 6 	 STR_1604590
Y 	 94998 	 95014 	 1 	 17 	 STR_1604591
Y 	 95147 	 95161 	 1 	 15 	 STR_1604592
Y 	 95220 	 95238 	 3 	 6.33333 	 STR_1604593
Y 	 95874 	 95893 	 6 	 3.33333 	 STR_1604594
Y 	 100608 	 100629 	 6 	 3.66667 	 STR_1604595
Y 	 101877 	 101894 	 4 	 4.5 	 STR_1604596
Y 	 102749 	 102770 	 1 	 22 	 STR_1604597
Y 	 104000 	 104013 	 1 	 14 	 STR_1604598
Y 	 104443 	 104460 	 3 	 6 	 STR_1604599
Y 	 121911 	 121921 	 1 	 11 	 STR_1604600
Y 	 122541 	 122559 	 4 	 4.75 	 STR_1604601
Y 	 123475 	 123485 	 1 	 11 	 STR_1604602
Y 	 124297 	 124309 	 1 	 13 	 STR_1604603
Y 	 127383 	 127407 	 1 	 25 	 STR_1604604
Y 	 129148 	 129171 	 1 	 24 	 STR_1604605
Y 	 129886 	 129904 	 1 	 19 	 STR_1604606
Y 	 130196 	 130246 	 4 	 12.75 	 STR_1604607
Y 	 131093 	 131119 	 6 	 4.5 	 STR_1604608
Y 	 131412 	 131574 	 4 	 40.75 	 STR_1604609
Y 	 132964 	 132999 	 4 	 9 	 STR_1604610
Y 	 133248 	 133265 	 1 	 18 	 STR_1604611
Y 	 133998 	 134010 	 1 	 13 	 STR_1604612
Y 	 134334 	 134356 	 1 	 23 	 STR_1604613
Y 	 141757 	 141795 	 3 	 13 	 STR_1604614
Y 	 141873 	 141919 	 3 	 15.6667 	 STR_1604615
Y 	 145406 	 145423 	 1 	 18 	 STR_1604616
Y 	 146443 	 146466 	 1 	 24 	 STR_1604617
Y 	 148019 	 148048 	 4 	 7.5 	 STR_1604618
Y 	 149051 	 149077 	 5 	 5.4 	 STR_1604619
Y 	 149371 	 149386 	 1 	 16 	 STR_1604620
Y 	 149488 	 149757 	 2 	 135 	 STR_1604621
Y 	 149928 	 149940 	 1 	 13 	 STR_1604622
Y 	 151132 	 151148 	 2 	 8.5 	 STR_1604623
Y 	 151252 	 151281 	 2 	 15 	 STR_1604624
Y 	 151756 	 151785 	 2 	 15 	 STR_1604625
Y 	 152737 	 152748 	 1 	 12 	 STR_1604626
Y 	 155754 	 155768 	 4 	 3.75 	 STR_1604627
Y 	 156164 	 156197 	 6 	 5.66667 	 STR_1604628
Y 	 157097 	 157112 	 1 	 16 	 STR_1604629
Y 	 157807 	 157829 	 1 	 23 	 STR_1604630
Y 	 159282 	 159297 	 4 	 4 	 STR_1604631
Y 	 161149 	 161164 	 1 	 16 	 STR_1604632
Y 	 161839 	 161851 	 1 	 13 	 STR_1604633
Y 	 161968 	 161983 	 4 	 4 	 STR_1604634
Y 	 162195 	 162208 	 1 	 14 	 STR_1604635
Y 	 162503 	 162525 	 4 	 5.75 	 STR_1604636
Y 	 162782 	 162804 	 5 	 4.6 	 STR_1604637
Y 	 166720 	 166740 	 1 	 21 	 STR_1604638
Y 	 167096 	 167114 	 4 	 4.75 	 STR_1604639
Y 	 167130 	 167164 	 2 	 17.5 	 STR_1604640
Y 	 167360 	 167386 	 2 	 13.5 	 STR_1604641
Y 	 169062 	 169077 	 1 	 16 	 STR_1604642
Y 	 170454 	 170469 	 1 	 16 	 STR_1604643
Y 	 171987 	 172006 	 1 	 20 	 STR_1604644
Y 	 172287 	 172310 	 1 	 24 	 STR_1604645
Y 	 174821 	 174845 	 4 	 6.25 	 STR_1604646
Y 	 175400 	 175420 	 1 	 21 	 STR_1604647
Y 	 181144 	 181158 	 1 	 15 	 STR_1604648
